분류,1회 제공량,메뉴,칼로리(kcal),당류(g),단백질(g),나트륨(mg),포화지방(g),카페인(mg)
2025 Summer 1,Tall(톨) /355ml,씨솔트 카라멜 콜드 브루,150,18,1,110,6,130
콜드 브루,Tall(톨) /355ml,나이트로 바닐라 크림,80,10,1,40,2,232
콜드 브루,Tall(톨) /355ml,나이트로 콜드 브루,5,0,0,5,0,245
웹사이트 비노출 메뉴(사이렌오더 영양정보 연동),Tall(톨) /355ml,돌체 콜드 브루,220,22,6,80,6,155
콜드 브루,Tall(톨) /355ml,리저브 나이트로,5,0,0,0,0,190
콜드 브루,Tall(톨) /355ml,리저브 콜드 브루,5,0,0,0,0,190
콜드 브루,Tall(톨) /355ml,막걸리향 크림 콜드 브루,300,32,3,65,13,53
콜드 브루,Grande(그란데) /473ml,민트 콜드 브루,100,23,0,0,0,415
콜드 브루,Tall(톨) /355ml,바닐라 크림 콜드 브루,125,11,3,58,6,155
콜드 브루,,베르가못 콜드브루,125,22,3,45,1.7,90
콜드 브루,Tall(톨) /355ml,스모크드 콜드 패션드,30,6,0,0,0,135
콜드 브루,Bottle(보틀) /500ml,시그니처 더 블랙 콜드 브루,25,0,0,50,0,680
콜드 브루,,여수 윤슬 헤이즐넛 콜드브루,240,27,5,80,9,53
콜드 브루,Tall(톨) /355ml,오트 콜드 브루,120,14,1,95,0.3,65
콜드 브루,Grande(그란데) /473ml,제주 비자림 리저브 콜드 브루,205,26,8,100,4.1,250
웹사이트 비노출 메뉴(사이렌오더 영양정보 연동),Tall(톨) /355ml,콜드 브루,5,0,0,11,0,155
콜드 브루,Trenta(트렌타) /887ml,콜드 브루,5,0,0,25,0,360
콜드 브루,Tall(톨) /355ml,콜드 브루 몰트,505,41,7,150,20,190
콜드 브루,Tall(톨) /355ml,콜드 브루 플로트,225,18,3,70,10,190
콜드 브루,Grande(그란데) /473ml,흑임자 크림 콜드 브루,220,16,2,40,13,200
브루드 커피,Tall(톨) /355ml,HP 코스타리카 TL 아이스 블랙&화이트,265,18,2,105,17,195
브루드 커피,Tall(톨) /355ml,아이스 커피,5,0,0,10,0,140
브루드 커피,Tall(톨) /355ml,오늘의 커피,5,0,0,15,0,260
브루드 커피,Short(숏) /237ml,인도 MM 스모크드 카페 미스토,110,11,5,75,3,130
에스프레소,Tall(톨) /355ml,스타벅스 꿀 호떡 라떼,360,23,10,150,11,75
에스프레소,Tall(톨) /355ml,아이스 스타벅스 꿀 호떡 라떼,290,16,6,80,10,75
에스프레소,Solo(솔로) /22ml,에스프레소 콘 파나,30,0,1,5,2,75
에스프레소,Solo(솔로) /22ml,에스프레소 마키아또,10,0,0,0,0,75
에스프레소,,스타벅스 1호점 카페 아메리카노,10,0,1,0,0,210
에스프레소,,아이스 스타벅스 1호점 카페 아메리카노,10,0,1,0,0,210
에스프레소,Tall(톨) /355ml,아이스 카페 아메리카노,10,0,1,5,0,150
에스프레소,Tall(톨) /355ml,카페 아메리카노,10,0,1,5,0,150
에스프레소,Tall(톨) /355ml,아이스 카라멜 마키아또,190,22,6,110,4.6,75
에스프레소,Tall(톨) /355ml,카라멜 마키아또,200,22,8,130,5,75
에스프레소,Tall(톨) /355ml,아이스 카푸치노,110,9,6,90,3.5,75
에스프레소,Tall(톨) /355ml,카푸치노,110,8,6,70,3,75
에스프레소,Tall(톨) /355ml,라벤더 카페 브레베,400,30,8,140,22,105
에스프레소,Tall(톨) /355ml,바닐라 빈 라떼,245,27,9,150,6,210
에스프레소,Tall(톨) /355ml,번트 카라멜 라떼,380,30,12,250,13,210
에스프레소,Tall(톨) /355ml,사케라또 비안코 오버 아이스,270,14,3,45,18,315
에스프레소,,스타벅스 1호점 카페 라떼,200,15,10,150,6,210
에스프레소,,스타벅스 1호점 크림 라떼,215,19,2,25,12,210
에스프레소,Tall(톨) /355ml,스타벅스 돌체 라떼,215,32,12,190,2,150
에스프레소,Tall(톨) /355ml,아이스 라벤더 카페 브레베,335,27,6,110,18,105
에스프레소,Tall(톨) /355ml,아이스 바닐라 빈 라떼,155,20,5,75,2.9,210
에스프레소,,아이스 스타벅스 1호점 카페 라떼,110,8,6,80,3.2,210
에스프레소,,아이스 스타벅스 1호점 크림 라떼,215,19,2,25,12,210
에스프레소,Tall(톨) /355ml,아이스 스타벅스 돌체 라떼,190,28,10,140,2,150
에스프레소,Tall(톨) /355ml,아이스 인절미 크림 라떼,455,43,9,180,16,75
에스프레소,Tall(톨) /355ml,아이스 카페 라떼,110,8,6,75,3.5,75
에스프레소,Tall(톨) /355ml,인절미 크림 라떼,530,49,12,250,19,75
에스프레소,Tall(톨) /355ml,카페 라떼,180,13,10,115,5,75
에스프레소,Tall(톨) /355ml,아이스 카페 모카,250,21,7,70,8,95
에스프레소,Tall(톨) /355ml,아이스 화이트 초콜릿 모카,300,31,8,150,10,75
에스프레소,Tall(톨) /355ml,카페 모카,290,25,10,105,9,95
에스프레소,Grande(그란데) /473ml,클래식 민트 모카,335,43,4,200,0.7,210
에스프레소,Tall(톨) /355ml,화이트 초콜릿 모카,350,37,11,200,10,75
에스프레소,Tall(톨) /355ml,아이스 플랫 화이트,120,9,6,90,3.5,130
에스프레소,Tall(톨) /355ml,플랫 화이트,170,13,8,130,5,130
에스프레소,207ml,바닐라 스타벅스 더블 샷,125,14,2,30,4.5,150
에스프레소,Tall(톨) /355ml,블론드 바닐라 더블 샷 마키아또,315,31,8,130,12,170
에스프레소,Tall(톨) /355ml,사케라또 아포가토,290,30,4,70,10,210
에스프레소,Tall(톨) /355ml,스파클링 시트러스 에스프레소,65,15,0,5,0,105
에스프레소,Tall(톨) /355ml,아이스 블론드 바닐라 더블 샷 마키아또,195,22,5,65,6,170
에스프레소,Solo(솔로) /22ml,에스프레소,5,0,0,0,0,75
에스프레소,,에스프레소 플라이트,-,-,-,-,-,-
에스프레소,,에스프레소 플라이트 도산,-,-,-,-,-,-
에스프레소,207ml,커피 스타벅스 더블 샷,125,14,2,30,4.5,150
에스프레소,Tall(톨) /355ml,클래식 아포가토,240,18,4,70,10,210
에스프레소,207ml,헤이즐넛 스타벅스 더블 샷,125,14,2,30,4.5,150
프라푸치노,Grande(그란데) /473ml,바나나 아몬드 오트 프라푸치노,275,35,3,200,0.8,0
2025 Summer 1,Tall(톨) /355ml,자몽 망고 코코 프라푸치노,245,40,3,200,5,0
프라푸치노,Grande(그란데) /473ml,초코 바나나 아몬드 오트 프라푸치노,270,34,4,200,0.6,5
프라푸치노,Tall(톨) /355ml,더블 에스프레소 칩 프라푸치노,225,18,4,170,13,130
프라푸치노,Tall(톨) /355ml,에스프레소 프라푸치노,110,17,2,150,1.1,120
웹사이트 비노출 메뉴(사이렌오더 영양정보 연동),Tall(톨) /355ml,자바 칩 프라푸치노,285,30,5,180,6,100
프라푸치노,Tall(톨) /355ml,칩 앤 칩 모카 프라푸치노,285,27,4,170,11,90
프라푸치노,Tall(톨) /355ml,카라멜 프라푸치노,225,24,3,180,8,85
프라푸치노,Tall(톨) /355ml,딸기 글레이즈드 크림 프라푸치노,315,37,5,250,9,5
프라푸치노,Grande(그란데) /473ml,인절미 제주 말차 크림 프라푸치노,442,50,8,330,11,37
프라푸치노,Grande(그란데) /473ml,제주 까망 크림 프라푸치노,505,48,11,380,8,0
프라푸치노,Tall(톨) /355ml,제주 말차 크림 프라푸치노,215,20,5,170,7,60
프라푸치노,Grande(그란데) /473ml,제주 쑥떡 크림 프라푸치노,410,43,8,280,10,0
프라푸치노,Tall(톨) /355ml,초콜릿 크림 칩 프라푸치노,275,27,6,180,7,10
프라푸치노,Grande(그란데) /473ml,화이트 타이거 프라푸치노,385,50,6,240,7,0
블렌디드,Grande(그란데) /473ml,제주 탄제린 블렌디드,260,43,1,25,0,0
2025 Summer 1,Tall(톨) /355ml,더블 머스캣 블렌디드,165,31,0,25,0,0
블렌디드,Tall(톨) /355ml,북한산 레몬 얼 그레이 블렌디드,110,25,0,10,0.1,8
블렌디드,Tall(톨) /355ml,스타벅스 클래식 밀크티 블렌디드,315,37,3,55,13,60
블렌디드,Grande(그란데) /473ml,여수 바다 유자 블렌디드,145,34,0,10,0,0
블렌디드,Tall(톨) /355ml,딸기 딜라이트 요거트 블렌디드,255,38,7,100,3.5,0
블렌디드,Grande(그란데) /473ml,망고 바나나 블렌디드,290,45,4,130,0.9,0
블렌디드,Grande(그란데) /473ml,스타벅스 판다 쿠키 블렌디드,310,47,8,220,8,0
블렌디드,Tall(톨) /355ml,제주 말차 요거트 블렌디드,300,40,6,230,5,30
블렌디드,Grande(그란데) /473ml,피치 망고 블렌디드,225,32,1,100,0,0
블렌디드,Tall(톨) /355ml,피치 요거트 블렌디드,220,30,4,90,2.2,0
스타벅스 리프레셔,Tall(톨) /355ml,딸기 아사이 레모네이드 스타벅스 리프레셔,105,24,1,0,0,30
스타벅스 리프레셔,Trenta(트렌타) /887ml,딸기 아사이 레모네이드 스타벅스 리프레셔,265,62,1,0,0,73
스타벅스 피지오,,골든 만다린 홉 피지오,120,27,0,5,0,16
스타벅스 피지오,Tall(톨) /355ml,라이트 핑크 자몽 피지오,70,17,0,0,0,0
스타벅스 피지오,Grande(그란데) /473ml,리버 피치 피지오,155,22,0,45,0,0
스타벅스 피지오,Grande(그란데) /473ml,여수 바다 자몽 피지오,250,45,1,105,0,0
스타벅스 피지오,,의암호의 초록빛 자몽 피지오,130,28,0,45,0,0
스타벅스 피지오,Tall(톨) /355ml,제주팔삭 셔벗 피지오,165,38,0,5,0,0
스타벅스 피지오,Tall(톨) /355ml,제주팔삭 피지오,150,34,0,5,0,0
스타벅스 피지오,Tall(톨) /355ml,쿨 라임 피지오,105,25,0,20,0,110
티,Tall(톨) /355ml,민트 블렌드 티,0,0,0,0,0,0
티,Tall(톨) /355ml,아이스 민트 블렌드 티,0,0,0,0,0,0
티,Tall(톨) /355ml,아이스 얼 그레이 티,0,0,0,0,0,50
티,Tall(톨) /355ml,아이스 유스베리 티,0,0,0,0,0,20
티,Tall(톨) /355ml,아이스 유자 민트 티,95,22,0,5,0,0
티,Tall(톨) /355ml,아이스 잉글리쉬 브렉퍼스트 티,0,0,0,0,0,40
티,Tall(톨) /355ml,아이스 제주 유기농 녹차로 만든 티,0,0,0,0,0,16
티,Tall(톨) /355ml,아이스 제주팔삭 & 자몽 허니 블랙 티,140,38,0,5,0,27
티,Tall(톨) /355ml,아이스 캐모마일 블렌드 티,0,0,0,0,0,0
티,Tall(톨) /355ml,아이스 히비스커스 블렌드 티,0,0,0,0,0,0
티,Tall(톨) /355ml,얼 그레이 티,0,0,0,0,0,70
티,Tall(톨) /355ml,유스베리 티,0,0,0,0,0,20
티,Tall(톨) /355ml,유자 민트 티,140,33,0,10,0,0
티,Tall(톨) /355ml,잉글리쉬 브렉퍼스트 티,0,0,0,0,0,70
웹사이트 비노출 메뉴(사이렌오더 영양정보 연동),Tall(톨) /355ml,자몽 허니 블랙 티,125,30,0,5,0,70
티,Tall(톨) /355ml,제주 유기농 녹차로 만든 티,0,0,0,0,0,16
티,Tall(톨) /355ml,제주팔삭 & 자몽 허니 블랙 티,140,38,0,5,0,70
티,Tall(톨) /355ml,캐모마일 블렌드 티,0,0,0,0,0,0
티,Tall(톨) /355ml,히비스커스 블렌드 티,0,0,0,0,0,0
티,Tall(톨) /355ml,MINI 라임 패션 티 with 팔삭 셔벗,170,34,0,25,0,35
티,Grande(그란데) /473ml,레드 파워 패션 티,190,31,1,40,0,33
티,,레몬 캐모마일 블렌드 티,130,30,0,10,0,0
티,Trenta(트렌타) /887ml,복숭아 아이스 티,255,34,1,75,0,70
티,Tall(톨) /355ml,복숭아 아이스 티,110,15,0,35,0,30
티,Tall(톨) /355ml,복숭아 핫 티,160,21,0,50,0,70
티,,아이스 레몬 캐모마일 블렌드 티,130,30,0,10,0,0
티,Trenta(트렌타) /887ml,아이스 자몽 허니 블랙 티,345,79,1,10,0,75
웹사이트 비노출 메뉴(사이렌오더 영양정보 연동),Tall(톨) /355ml,아이스 자몽 허니 블랙 티,125,30,0,5,0,30
티,,말차 티라미수 라떼,415,39,11,230,15,75
티,Tall(톨) /355ml,스타벅스 클래식 밀크 티,299,31,5,80,13,190
티,,스타벅스 클래식 밀크 티 보틀,485,51,7,130,21,195
티,,아이스 말차 티라미수 라떼,355,34,8,180,13,75
티,Tall(톨) /355ml,아이스 스타벅스 클래식 밀크 티,198,21,3,50,9,80
티,,아이스 의암호의 보랏빛 라벤더 티 라떼,290,33,4,80,7,13
티,,아이스 인절미 제주 말차 라떼,353,34,9,170,11,52
티,Tall(톨) /355ml,아이스 제주 말차 라떼,155,16,6,95,3.6,60
티,,의암호의 보랏빛 라벤더 티 라떼,315,35,5,100,8,70
티,,인절미 제주 말차 라떼,452,43,14,240,14,58
웹사이트 비노출 메뉴(사이렌오더 영양정보 연동),Tall(톨) /355ml,제주 말차 라떼,205,20,9,130,5,60
기타 제조 음료,,딸기 콜드폼 초콜릿,255,45,7,110,2,5
기타 제조 음료,Tall(톨) /355ml,시그니처 핫 초콜릿,410,39,13,135,15,15
기타 제조 음료,Tall(톨) /355ml,아이스 시그니처 초콜릿,280,22,8,100,13,15
기타 제조 음료,,아이스 티라미수 초콜릿,360,38,8,140,12,10
기타 제조 음료,Tall(톨) /355ml,티라미수 초콜릿,440,44,12,210,15,10
기타 제조 음료,Grande(그란데) /473ml,플러피 판다 아이스 초콜릿,415,39,11,150,16,0
기타 제조 음료,Grande(그란데) /473ml,플러피 판다 핫 초콜릿,470,48,12,160,17,0
기타 제조 음료,,딸기 콜드폼 딸기 라떼,235,41,6,110,2,0
2025 Summer 1,Tall(톨) /355ml,스타벅스 망고 라떼,230,36,5,105,3,0
기타 제조 음료,Grande(그란데) /473ml,스타벅스 슬래머,210,49,0,0,0,0
기타 제조 음료,Tall(톨) /355ml,스팀 우유,215,18,13,173,7,0
기타 제조 음료,Tall(톨) /355ml,우유,240,18,12,200,8,0
기타 제조 음료,,제주팔삭 셔벗,95,22,0,5,0,0
스타벅스 주스(병음료),190 ml,ABC 클렌즈 190ML,90,16,1,45,0.1,0
스타벅스 주스(병음료),100 ml,스퀴즈드 오렌지 주스 100ML,50,9,1,0,0,0
스타벅스 주스(병음료),190 ml,케일 클렌즈 190ML,90,15,1,15,0.2,0
스타벅스 주스(병음료),190 ml,딸기주스 190ML,110,25,0,30,0,0
스타벅스 주스(병음료),190 ml,망고주스 190ML,117,23,1,15,0,0
스타벅스 주스(병음료),190 ml,수박 주스 190ML,100,20,1,15,0,0
스타벅스 주스(병음료),190 ml,유기농 오렌지 100% 주스 190ML,95,20,2,5,0,0
스타벅스 주스(병음료),591 ml,유기농 오렌지 100% 주스 591ML,290,62,6,10,0.6,0
스타벅스 주스(병음료),190 ml,케일&사과주스 190ML,105,26,0,25,0,0
스타벅스 주스(병음료),190 ml,한라봉주스 190ML,88,20,1,10,0,0
스타벅스 주스(병음료),190 ml,햇사과 주스 190ML,113,27,0.2,10,0,0
스타벅스 주스(병음료),591 ml,햇사과 주스 591ML,360,84,1.3,20,0,0
스타벅스 주스(병음료),190 ml,딸기 가득 요거트 190ML,155,21,4,50,3.2,0
스타벅스 주스(병음료),190 ml,블루베리 요거트 190ML,155,18,5,70,3.6,0
2025 Summer 1,Tall(톨) /355ml,자몽 망고 코코 프라푸치노,245,40,3,200,5,0
2025 Summer 1,Tall(톨) /355ml,더블 머스캣 블렌디드,165,31,0,25,0,0
2025 Summer 1,Tall(톨) /355ml,씨솔트 카라멜 콜드 브루,150,18,1,110,6,130
2025 Summer 1,Tall(톨) /355ml,스타벅스 망고 라떼,230,36,5,105,3,0
